"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-04-07","JO","Jour","Local","Kalamu I","Makala","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Bumbu","Makala","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Makala","Makala","Kasa-Vubu","835"
"2020-04-07","JO","Nuit","Local","Makala","Makala","Kasa-Vubu","188"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Makala","Kasa-Vubu","1368"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Makala","Kasa-Vubu","73"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Makala","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Hors_Zone","Selembao","Kasa-Vubu","344"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Selembao","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Kalamu II","Selembao","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Bumbu","Selembao","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Selembao","Selembao","Kasa-Vubu","1149"
"2020-04-07","JO","Nuit","Local","Selembao","Selembao","Kasa-Vubu","229"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Selembao","Kasa-Vubu","1191"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Selembao","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Selembao","Kasa-Vubu","52"
"2020-04-07","JO","Jour","Local","Binza Meteo","Selembao","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Gombe","Selembao","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Hors_Zone","Masina I","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Masina I","Masina I","Kasa-Vubu","146"
"2020-04-07","JO","Nuit","Local","Masina I","Masina I","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Masina I","Kasa-Vubu","114"
"2020-04-07","JO","Jour","Local","Kimbanseke","Masina I","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Kintambo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kintambo","Kintambo","Kasa-Vubu","417"
"2020-04-07","JO","Nuit","Local","Kintambo","Kintambo","Kasa-Vubu","219"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Kintambo","Kasa-Vubu","219"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Kintambo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Binza Meteo","Kintambo","Kasa-Vubu","52"
"2020-04-07","JO","Jour","Local","Gombe","Kintambo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Kasa-Vubu","Kasa-Vubu","1462"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Kasa-Vubu","Kasa-Vubu","2972"
"2020-04-07","JO","Nuit","Local","Ndjili","Kasa-Vubu","Kasa-Vubu","73"
"2020-04-07","JO","Nuit","Local","Kikimi","Kasa-Vubu","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Lemba","Kasa-Vubu","Kasa-Vubu","41"
"2020-04-07","JO","Nuit","Local","Lemba","Kasa-Vubu","Kasa-Vubu","146"
"2020-04-07","JO","Nuit","Local","Matete","Kasa-Vubu","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Police","Kasa-Vubu","Kasa-Vubu","83"
"2020-04-07","JO","Nuit","Local","Police","Kasa-Vubu","Kasa-Vubu","334"
"2020-04-07","JO","Nuit","Local","Barumbu","Kasa-Vubu","Kasa-Vubu","188"
"2020-04-07","JO","Jour","Local","Kinshasa","Kasa-Vubu","Kasa-Vubu","146"
"2020-04-07","JO","Nuit","Local","Kinshasa","Kasa-Vubu","Kasa-Vubu","762"
"2020-04-07","JO","Jour","Local","Limete","Kasa-Vubu","Kasa-Vubu","94"
"2020-04-07","JO","Nuit","Local","Limete","Kasa-Vubu","Kasa-Vubu","470"
"2020-04-07","JO","Jour","Local","Kalamu II","Kasa-Vubu","Kasa-Vubu","480"
"2020-04-07","JO","Nuit","Local","Kalamu II","Kasa-Vubu","Kasa-Vubu","1849"
"2020-04-07","JO","Jour","Local","Kalamu I","Kasa-Vubu","Kasa-Vubu","104"
"2020-04-07","JO","Nuit","Local","Kalamu I","Kasa-Vubu","Kasa-Vubu","334"
"2020-04-07","JO","Jour","Local","Bumbu","Kasa-Vubu","Kasa-Vubu","31"
"2020-04-07","JO","Nuit","Local","Bumbu","Kasa-Vubu","Kasa-Vubu","146"
"2020-04-07","JO","Jour","Local","Selembao","Kasa-Vubu","Kasa-Vubu","31"
"2020-04-07","JO","Nuit","Local","Selembao","Kasa-Vubu","Kasa-Vubu","125"
"2020-04-07","JO","Nuit","Local","Kintambo","Kasa-Vubu","Kasa-Vubu","177"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Kasa-Vubu","Kasa-Vubu","82414"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Kasa-Vubu","Kasa-Vubu","84848"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Kasa-Vubu","Kasa-Vubu","459"
"2020-04-07","JO","Nuit","Local","Ngiri-Ngiri","Kasa-Vubu","Kasa-Vubu","1232"
"2020-04-07","JO","Jour","Local","Binza Meteo","Kasa-Vubu","Kasa-Vubu","156"
"2020-04-07","JO","Nuit","Local","Binza Meteo","Kasa-Vubu","Kasa-Vubu","438"
"2020-04-07","JO","Jour","Local","Binza Ozone","Kasa-Vubu","Kasa-Vubu","73"
"2020-04-07","JO","Nuit","Local","Binza Ozone","Kasa-Vubu","Kasa-Vubu","146"
"2020-04-07","JO","Jour","Local","Nsele","Kasa-Vubu","Kasa-Vubu","250"
"2020-04-07","JO","Nuit","Local","Nsele","Kasa-Vubu","Kasa-Vubu","407"
"2020-04-07","JO","Jour","Local","Kokolo","Kasa-Vubu","Kasa-Vubu","146"
"2020-04-07","JO","Nuit","Local","Kokolo","Kasa-Vubu","Kasa-Vubu","522"
"2020-04-07","JO","Nuit","Local","Maluku I","Kasa-Vubu","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kingabwa","Kasa-Vubu","Kasa-Vubu","31"
"2020-04-07","JO","Nuit","Local","Kingabwa","Kasa-Vubu","Kasa-Vubu","208"
"2020-04-07","JO","Jour","Local","Gombe","Kasa-Vubu","Kasa-Vubu","1003"
"2020-04-07","JO","Nuit","Local","Gombe","Kasa-Vubu","Kasa-Vubu","1588"
"2020-04-07","JO","Nuit","Local","Masina II","Kasa-Vubu","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Hors_Zone","Ngiri-Ngiri","Kasa-Vubu","376"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Ngiri-Ngiri","Kasa-Vubu","73"
"2020-04-07","JO","Nuit","Local","Kinshasa","Ngiri-Ngiri","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kalamu II","Ngiri-Ngiri","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Kalamu I","Ngiri-Ngiri","Kasa-Vubu","62"
"2020-04-07","JO","Nuit","Local","Kalamu I","Ngiri-Ngiri","Kasa-Vubu","73"
"2020-04-07","JO","Nuit","Local","Bumbu","Ngiri-Ngiri","Kasa-Vubu","52"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Ngiri-Ngiri","Kasa-Vubu","3740"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Ngiri-Ngiri","Kasa-Vubu","825"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Ngiri-Ngiri","Kasa-Vubu","3949"
"2020-04-07","JO","Nuit","Local","Ngiri-Ngiri","Ngiri-Ngiri","Kasa-Vubu","2319"
"2020-04-07","JO","Nuit","Local","Nsele","Ngiri-Ngiri","Kasa-Vubu","73"
"2020-04-07","JO","Jour","Local","Kokolo","Ngiri-Ngiri","Kasa-Vubu","41"
"2020-04-07","JO","Nuit","Local","Kokolo","Ngiri-Ngiri","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Gombe","Ngiri-Ngiri","Kasa-Vubu","114"
"2020-04-07","JO","Nuit","Local","Gombe","Ngiri-Ngiri","Kasa-Vubu","73"
"2020-04-07","JO","Jour","Local","Hors_Zone","Binza Meteo","Kasa-Vubu","240"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Binza Meteo","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Bumbu","Binza Meteo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Selembao","Binza Meteo","Kasa-Vubu","52"
"2020-04-07","JO","Jour","Local","Kintambo","Binza Meteo","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Binza Meteo","Kasa-Vubu","825"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Binza Meteo","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Binza Meteo","Binza Meteo","Kasa-Vubu","1505"
"2020-04-07","JO","Nuit","Local","Binza Meteo","Binza Meteo","Kasa-Vubu","386"
"2020-04-07","JO","Jour","Local","Gombe","Binza Meteo","Kasa-Vubu","135"
"2020-04-07","JO","Nuit","Local","Gombe","Binza Meteo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Binza Ozone","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Binza Ozone","Kasa-Vubu","323"
"2020-04-07","JO","Jour","Local","Binza Meteo","Binza Ozone","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Binza Ozone","Binza Ozone","Kasa-Vubu","700"
"2020-04-07","JO","Nuit","Local","Binza Ozone","Binza Ozone","Kasa-Vubu","125"
"2020-04-07","JO","Jour","Local","Gombe","Binza Ozone","Kasa-Vubu","62"
"2020-04-07","JO","Jour","Local","Hors_Zone","Mont Ngafula II","Kasa-Vubu","114"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Mont Ngafula II","Kasa-Vubu","292"
"2020-04-07","JO","Jour","Local","Binza Meteo","Mont Ngafula II","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Mont Ngafula II","Mont Ngafula II","Kasa-Vubu","535"
"2020-04-07","JO","Nuit","Local","Mont Ngafula II","Mont Ngafula II","Kasa-Vubu","135"
"2020-04-07","JO","Jour","Local","Gombe","Mont Ngafula II","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Sona-Bata","Sona-Bata","Kasa-Vubu","26"
"2020-04-07","JO","Jour","Local","Hors_Zone","Nsele","Kasa-Vubu","125"
"2020-04-07","JO","Jour","Local","Ndjili","Nsele","Kasa-Vubu","31"
"2020-04-07","JO","Nuit","Local","Kalamu II","Nsele","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Kalamu I","Nsele","Kasa-Vubu","31"
"2020-04-07","JO","Nuit","Local","Kalamu I","Nsele","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Nsele","Kasa-Vubu","815"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Nsele","Kasa-Vubu","292"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Nsele","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Binza Meteo","Nsele","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Nsele","Nsele","Kasa-Vubu","459"
"2020-04-07","JO","Nuit","Local","Nsele","Nsele","Kasa-Vubu","344"
"2020-04-07","JO","Jour","Local","Gombe","Nsele","Kasa-Vubu","52"
"2020-04-07","JO","Nuit","Local","Gombe","Nsele","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Kimbanseke","Kasa-Vubu","229"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Kimbanseke","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Kimbanseke","Kasa-Vubu","386"
"2020-04-07","JO","Jour","Local","Kimbanseke","Kimbanseke","Kasa-Vubu","543"
"2020-04-07","JO","Nuit","Local","Kimbanseke","Kimbanseke","Kasa-Vubu","198"
"2020-04-07","JO","Jour","Local","Gombe","Kimbanseke","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Kokolo","Kasa-Vubu","271"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Kokolo","Kasa-Vubu","198"
"2020-04-07","JO","Nuit","Local","Barumbu","Kokolo","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Kalamu II","Kokolo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Kokolo","Kasa-Vubu","1222"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Kokolo","Kasa-Vubu","156"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Kokolo","Kasa-Vubu","94"
"2020-04-07","JO","Nuit","Local","Ngiri-Ngiri","Kokolo","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Binza Meteo","Kokolo","Kasa-Vubu","41"
"2020-04-07","JO","Nuit","Local","Binza Meteo","Kokolo","Kasa-Vubu","52"
"2020-04-07","JO","Nuit","Local","Binza Ozone","Kokolo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kokolo","Kokolo","Kasa-Vubu","2967"
"2020-04-07","JO","Nuit","Local","Kokolo","Kokolo","Kasa-Vubu","2110"
"2020-04-07","JO","Jour","Local","Gombe","Kokolo","Kasa-Vubu","114"
"2020-04-07","JO","Nuit","Local","Gombe","Kokolo","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Kimpese","Kimpese","Kasa-Vubu","47"
"2020-04-07","JO","Jour","Local","Mbanza-Ngungu","Mbanza-Ngungu","Kasa-Vubu","91"
"2020-04-07","JO","Nuit","Local","Mbanza-Ngungu","Mbanza-Ngungu","Kasa-Vubu","36"
"2020-04-07","JO","Jour","Local","Masa","Masa","Kasa-Vubu","26"
"2020-04-07","JO","Nuit","Local","Masa","Masa","Kasa-Vubu","26"
"2020-04-07","JO","Jour","Local","Maluku I","Maluku I","Kasa-Vubu","31"
"2020-04-07","JO","Jour","Local","Hors_Zone","Kingabwa","Kasa-Vubu","94"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Kingabwa","Kasa-Vubu","365"
"2020-04-07","JO","Jour","Local","Kingabwa","Kingabwa","Kasa-Vubu","417"
"2020-04-07","JO","Nuit","Local","Kingabwa","Kingabwa","Kasa-Vubu","52"
"2020-04-07","JO","Jour","Local","Gombe","Kingabwa","Kasa-Vubu","41"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Gombe","Kasa-Vubu","104"
"2020-04-07","JO","Jour","Local","Gombe","Gombe","Kasa-Vubu","313"
"2020-04-07","JO","Nuit","Local","Gombe","Gombe","Kasa-Vubu","114"
"2020-04-07","JO","Jour","Local","Hors_Zone","Masina II","Kasa-Vubu","73"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Masina II","Kasa-Vubu","355"
"2020-04-07","JO","Jour","Local","Gombe","Masina II","Kasa-Vubu","83"
"2020-04-07","JO","Jour","Local","Masina II","Masina II","Kasa-Vubu","511"
"2020-04-07","JO","Nuit","Local","Masina II","Masina II","Kasa-Vubu","125"
"2020-04-07","JO","Jour","Local","Hors_Zone","Hors_Zone","Ngiri-Ngiri","30585"
"2020-04-07","JO","Nuit","Local","Hors_Zone","Hors_Zone","Ngiri-Ngiri","22343"
"2020-04-07","JO","Jour","Local","Mont Ngafula I","Hors_Zone","Ngiri-Ngiri","97"
"2020-04-07","JO","Nuit","Local","Mont Ngafula I","Hors_Zone","Ngiri-Ngiri","44"
"2020-04-07","JO","Nuit","Local","Kikimi","Hors_Zone","Ngiri-Ngiri","31"
"2020-04-07","JO","Jour","Local","Lemba","Hors_Zone","Ngiri-Ngiri","114"
"2020-04-07","JO","Nuit","Local","Lemba","Hors_Zone","Ngiri-Ngiri","104"
"2020-04-07","JO","Jour","Local","Matete","Hors_Zone","Ngiri-Ngiri","31"
"2020-04-07","JO","Nuit","Local","Matete","Hors_Zone","Ngiri-Ngiri","41"
"2020-04-07","JO","Jour","Local","Police","Hors_Zone","Ngiri-Ngiri","104"
"2020-04-07","JO","Nuit","Local","Police","Hors_Zone","Ngiri-Ngiri","125"
"2020-04-07","JO","Jour","Local","Barumbu","Hors_Zone","Ngiri-Ngiri","41"
"2020-04-07","JO","Nuit","Local","Barumbu","Hors_Zone","Ngiri-Ngiri","52"
"2020-04-07","JO","Nuit","Local","Kinshasa","Hors_Zone","Ngiri-Ngiri","104"
"2020-04-07","JO","Jour","Local","Limete","Hors_Zone","Ngiri-Ngiri","94"
"2020-04-07","JO","Nuit","Local","Limete","Hors_Zone","Ngiri-Ngiri","135"
"2020-04-07","JO","Nuit","Local","Kalamu II","Hors_Zone","Ngiri-Ngiri","104"
"2020-04-07","JO","Jour","Local","Kalamu I","Hors_Zone","Ngiri-Ngiri","459"
"2020-04-07","JO","Nuit","Local","Kalamu I","Hors_Zone","Ngiri-Ngiri","491"
"2020-04-07","JO","Jour","Local","Bumbu","Hors_Zone","Ngiri-Ngiri","1556"
"2020-04-07","JO","Nuit","Local","Bumbu","Hors_Zone","Ngiri-Ngiri","1371"
"2020-04-07","JO","Jour","Local","Makala","Hors_Zone","Ngiri-Ngiri","156"
"2020-04-07","JO","Nuit","Local","Makala","Hors_Zone","Ngiri-Ngiri","146"
"2020-04-07","JO","Jour","Local","Selembao","Hors_Zone","Ngiri-Ngiri","250"
"2020-04-07","JO","Nuit","Local","Selembao","Hors_Zone","Ngiri-Ngiri","198"
"2020-04-07","JO","Jour","Local","Kintambo","Hors_Zone","Ngiri-Ngiri","62"
"2020-04-07","JO","Nuit","Local","Kintambo","Hors_Zone","Ngiri-Ngiri","94"
"2020-04-07","JO","Jour","Local","Kasa-Vubu","Hors_Zone","Ngiri-Ngiri","491"
"2020-04-07","JO","Nuit","Local","Kasa-Vubu","Hors_Zone","Ngiri-Ngiri","700"
"2020-04-07","JO","Jour","Local","Ngiri-Ngiri","Hors_Zone","Ngiri-Ngiri","16420"
"2020-04-07","JO","Nuit","Local","Ngiri-Ngiri","Hors_Zone","Ngiri-Ngiri","9942"
"2020-04-07","JO","Jour","Local","Binza Meteo","Hors_Zone","Ngiri-Ngiri","263"
"2020-04-07","JO","Nuit","Local","Binza Meteo","Hors_Zone","Ngiri-Ngiri","376"
"2020-04-07","JO","Jour","Local","Binza Ozone","Hors_Zone","Ngiri-Ngiri","83"
"2020-04-07","JO","Nuit","Local","Binza Ozone","Hors_Zone","Ngiri-Ngiri","62"
"2020-04-07","JO","Jour","Local","Mont Ngafula II","Hors_Zone","Ngiri-Ngiri","104"
"2020-04-07","JO","Jour","Local","Nsele","Hors_Zone","Ngiri-Ngiri","125"
"2020-04-07","JO","Nuit","Local","Nsele","Hors_Zone","Ngiri-Ngiri","125"
"2020-04-07","JO","Jour","Local","Kokolo","Hors_Zone","Ngiri-Ngiri","574"
"2020-04-07","JO","Nuit","Local","Kokolo","Hors_Zone","Ngiri-Ngiri","1229"
"2020-04-07","JO","Jour","Local","Kingabwa","Hors_Zone","Ngiri-Ngiri","31"
"2020-04-07","JO","Nuit","Local","Kingabwa","Hors_Zone","Ngiri-Ngiri","86"
"2020-04-07","JO","Jour","Local","Gombe","Hors_Zone","Ngiri-Ngiri","198"
"2020-04-07","JO","Nuit","Local","Gombe","Hors_Zone","Ngiri-Ngiri","156"
"2020-04-07","JO","Jour","Local","Masina II","Hors_Zone","Ngiri-Ngiri","41"
"2020-04-07","JO","Jour","Local","Matadi","Matadi","Ngiri-Ngiri","65"
"2020-04-07","JO","Nuit","Local","Matadi","Matadi","Ngiri-Ngiri","33"
"2020-04-07","JO","Jour","Local","Hors_Zone","Ndjili","Ngiri-Ngiri","62"
"2020-04-07","JO","Jour","Local","Ndjili","Ndjili","Ngiri-Ngiri","334"
"2020-04-07","JO","Nuit","Local","Ndjili","Ndjili","Ngiri-Ngiri","156"
