"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-03-05","JO","Jour","Local","Hors_Zone","Lualaba","Mutshatsha","69"
"2020-03-05","JO","Jour","Local","Lualaba","Lualaba","Mutshatsha","759"
"2020-03-05","JO","Nuit","Local","Lualaba","Lualaba","Mutshatsha","69"
"2020-03-05","JO","Jour","Local","Likasi","Lualaba","Mutshatsha","34"
"2020-03-05","JO","Jour","Local","Dilala","Lualaba","Mutshatsha","103"
"2020-03-05","JO","Jour","Local","Mutshatsha","Lualaba","Mutshatsha","483"
"2020-03-05","JO","Nuit","Local","Mutshatsha","Lualaba","Mutshatsha","34"
"2020-03-05","JO","Jour","Local","Dilolo","Dilolo","Mutshatsha","69"
"2020-03-05","JO","Jour","Local","Fungurume","Fungurume","Mutshatsha","34"
"2020-03-05","JO","Jour","Local","Lubumbashi","Lubumbashi","Mutshatsha","207"
"2020-03-05","JO","Nuit","Local","Lubumbashi","Lubumbashi","Mutshatsha","34"
"2020-03-05","JO","Jour","Local","Dilala","Dilala","Mutshatsha","103"
"2020-03-05","JO","Nuit","Local","Dilala","Dilala","Mutshatsha","34"
"2020-03-05","JO","Jour","Local","Mutshatsha","Dilala","Mutshatsha","69"
"2020-03-05","JO","Jour","Local","Lualaba","Mutshatsha","Mutshatsha","34"
"2020-03-05","JO","Nuit","Local","Lualaba","Mutshatsha","Mutshatsha","69"
"2020-03-05","JO","Nuit","Local","Dilala","Mutshatsha","Mutshatsha","103"
"2020-03-05","JO","Jour","Local","Mutshatsha","Mutshatsha","Mutshatsha","931"
"2020-03-05","JO","Nuit","Local","Mutshatsha","Mutshatsha","Mutshatsha","828"
"2020-03-05","JO","Jour","Local","Hors_Zone","Hors_Zone","Ilebo","164204"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Hors_Zone","Ilebo","25673"
"2020-03-05","JO","Jour","Local","Diulu","Hors_Zone","Ilebo","620"
"2020-03-05","JO","Jour","Local","Mweka","Hors_Zone","Ilebo","1240"
"2020-03-05","JO","Jour","Local","Luebo","Hors_Zone","Ilebo","620"
"2020-03-05","JO","Jour","Local","Bena Leka","Hors_Zone","Ilebo","620"
"2020-03-05","JO","Jour","Local","Kananga","Hors_Zone","Ilebo","1240"
"2020-03-05","JO","Jour","Local","Ilebo","Hors_Zone","Ilebo","144039"
"2020-03-05","JO","Nuit","Local","Ilebo","Hors_Zone","Ilebo","16243"
"2020-03-05","JO","Jour","Local","Mweka","Mweka","Ilebo","620"
"2020-03-05","JO","Nuit","Local","Ilebo","Mweka","Ilebo","620"
"2020-03-05","JO","Jour","Local","Kananga","Kananga","Ilebo","1860"
"2020-03-05","JO","Jour","Local","Mutoto","Mutoto","Ilebo","620"
"2020-03-05","JO","Jour","Local","Hors_Zone","Ilebo","Ilebo","5582"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Ilebo","Ilebo","4342"
"2020-03-05","JO","Jour","Local","Ilebo","Ilebo","Ilebo","185353"
"2020-03-05","JO","Nuit","Local","Ilebo","Ilebo","Ilebo","81500"
"2020-03-05","JO","Jour","Local","Hors_Zone","Hors_Zone","Bokoro","391159"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Hors_Zone","Bokoro","68805"
"2020-03-05","JO","Jour","Local","Nioki","Hors_Zone","Bokoro","3070"
"2020-03-05","JO","Jour","Local","Mokala","Hors_Zone","Bokoro","5372"
"2020-03-05","JO","Nuit","Local","Mokala","Hors_Zone","Bokoro","767"
"2020-03-05","JO","Jour","Local","Ilebo","Hors_Zone","Bokoro","1535"
"2020-03-05","JO","Nuit","Local","Ilebo","Hors_Zone","Bokoro","767"
"2020-03-05","JO","Jour","Local","Bokoro","Hors_Zone","Bokoro","288777"
"2020-03-05","JO","Nuit","Local","Bokoro","Hors_Zone","Bokoro","11537"
"2020-03-05","JO","Jour","Local","Bolobo","Kikongo","Bokoro","767"
"2020-03-05","JO","Jour","Local","Limete","Limete","Bokoro","767"
"2020-03-05","JO","Jour","Local","Nioki","Nioki","Bokoro","767"
"2020-03-05","JO","Jour","Local","Hors_Zone","Mokala","Bokoro","767"
"2020-03-05","JO","Jour","Local","Mokala","Mokala","Bokoro","767"
"2020-03-05","JO","Nuit","Local","Mokala","Mokala","Bokoro","767"
"2020-03-05","JO","Jour","Local","Bokoro","Mokala","Bokoro","3070"
"2020-03-05","JO","Jour","Local","Masina II","Masina II","Bokoro","767"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Ilebo","Bokoro","767"
"2020-03-05","JO","Jour","Local","Hors_Zone","Bokoro","Bokoro","26876"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Bokoro","Bokoro","16130"
"2020-03-05","JO","Jour","Local","Mokala","Bokoro","Bokoro","767"
"2020-03-05","JO","Nuit","Local","Mokala","Bokoro","Bokoro","1535"
"2020-03-05","JO","Jour","Local","Bokoro","Bokoro","Bokoro","542709"
"2020-03-05","JO","Nuit","Local","Bokoro","Bokoro","Bokoro","219304"
"2020-03-05","JO","Jour","Local","Hors_Zone","Hors_Zone","Boende","123586"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Hors_Zone","Boende","18774"
"2020-03-05","JO","Jour","Local","Boende","Hors_Zone","Boende","165509"
"2020-03-05","JO","Nuit","Local","Boende","Hors_Zone","Boende","9903"
"2020-03-05","JO","Jour","Local","Makiso-Kisangani","Makiso-Kisangani","Boende","469"
"2020-03-05","JO","Jour","Local","Lubunga","Lubunga","Boende","100"
"2020-03-05","JO","Jour","Local","Hors_Zone","Boende","Boende","5644"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Boende","Boende","3297"
"2020-03-05","JO","Jour","Local","Boende","Boende","Boende","244808"
"2020-03-05","JO","Nuit","Local","Boende","Boende","Boende","85975"
"2020-03-05","JO","Jour","Local","Wangata","Wangata","Boende","938"
"2020-03-05","JO","Nuit","Local","Wangata","Wangata","Boende","469"
"2020-03-05","JO","Jour","Local","Hors_Zone","Hors_Zone","Bolomba","782079"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Hors_Zone","Bolomba","153093"
"2020-03-05","JO","Jour","Local","Gombe","Hors_Zone","Bolomba","23"
"2020-03-05","JO","Jour","Local","Boende","Hors_Zone","Bolomba","469"
"2020-03-05","JO","Jour","Local","Bolomba","Hors_Zone","Bolomba","225190"
"2020-03-05","JO","Nuit","Local","Bolomba","Hors_Zone","Bolomba","25345"
"2020-03-05","JO","Jour","Local","Wangata","Hors_Zone","Bolomba","41315"
"2020-03-05","JO","Nuit","Local","Wangata","Hors_Zone","Bolomba","7509"
"2020-03-05","JO","Jour","Local","Bikoro","Hors_Zone","Bolomba","3754"
"2020-03-05","JO","Nuit","Local","Bikoro","Hors_Zone","Bolomba","469"
"2020-03-05","JO","Jour","Local","Mont Ngafula I","Mont Ngafula I","Bolomba","469"
"2020-03-05","JO","Jour","Local","Hors_Zone","Lemba","Bolomba","469"
