"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-02-03","JO","Nuit","Local","Boma","Ngiri-Ngiri","Ngiri-Ngiri","24"
"2020-02-03","JO","Nuit","Local","Kwilu-Ngongo","Ngiri-Ngiri","Ngiri-Ngiri","25"
"2020-02-03","JO","Nuit","Local","Matadi","Ngiri-Ngiri","Ngiri-Ngiri","63"
"2020-02-03","JO","Nuit","Local","Ndjili","Ngiri-Ngiri","Ngiri-Ngiri","72"
"2020-02-03","JO","Jour","Local","Mont Ngafula I","Ngiri-Ngiri","Ngiri-Ngiri","48"
"2020-02-03","JO","Nuit","Local","Mont Ngafula I","Ngiri-Ngiri","Ngiri-Ngiri","144"
"2020-02-03","JO","Nuit","Local","Lemba","Ngiri-Ngiri","Ngiri-Ngiri","168"
"2020-02-03","JO","Nuit","Local","Matete","Ngiri-Ngiri","Ngiri-Ngiri","72"
"2020-02-03","JO","Nuit","Local","Kisenso","Ngiri-Ngiri","Ngiri-Ngiri","36"
"2020-02-03","JO","Jour","Local","Police","Ngiri-Ngiri","Ngiri-Ngiri","214"
"2020-02-03","JO","Nuit","Local","Police","Ngiri-Ngiri","Ngiri-Ngiri","916"
"2020-02-03","JO","Jour","Local","Barumbu","Ngiri-Ngiri","Ngiri-Ngiri","108"
"2020-02-03","JO","Nuit","Local","Barumbu","Ngiri-Ngiri","Ngiri-Ngiri","554"
"2020-02-03","JO","Jour","Local","Kinshasa","Ngiri-Ngiri","Ngiri-Ngiri","144"
"2020-02-03","JO","Nuit","Local","Kinshasa","Ngiri-Ngiri","Ngiri-Ngiri","1156"
"2020-02-03","JO","Jour","Local","Limete","Ngiri-Ngiri","Ngiri-Ngiri","144"
"2020-02-03","JO","Nuit","Local","Limete","Ngiri-Ngiri","Ngiri-Ngiri","1003"
"2020-02-03","JO","Jour","Local","Kalamu II","Ngiri-Ngiri","Ngiri-Ngiri","337"
"2020-02-03","JO","Nuit","Local","Kalamu II","Ngiri-Ngiri","Ngiri-Ngiri","1425"
"2020-02-03","JO","Jour","Local","Kalamu I","Ngiri-Ngiri","Ngiri-Ngiri","435"
"2020-02-03","JO","Nuit","Local","Kalamu I","Ngiri-Ngiri","Ngiri-Ngiri","1413"
"2020-02-03","JO","Jour","Local","Bumbu","Ngiri-Ngiri","Ngiri-Ngiri","605"
"2020-02-03","JO","Nuit","Local","Bumbu","Ngiri-Ngiri","Ngiri-Ngiri","1797"
"2020-02-03","JO","Jour","Local","Makala","Ngiri-Ngiri","Ngiri-Ngiri","72"
"2020-02-03","JO","Nuit","Local","Makala","Ngiri-Ngiri","Ngiri-Ngiri","168"
"2020-02-03","JO","Jour","Local","Selembao","Ngiri-Ngiri","Ngiri-Ngiri","120"
"2020-02-03","JO","Nuit","Local","Selembao","Ngiri-Ngiri","Ngiri-Ngiri","435"
"2020-02-03","JO","Nuit","Local","Masina I","Ngiri-Ngiri","Ngiri-Ngiri","36"
"2020-02-03","JO","Jour","Local","Kintambo","Ngiri-Ngiri","Ngiri-Ngiri","156"
"2020-02-03","JO","Nuit","Local","Kintambo","Ngiri-Ngiri","Ngiri-Ngiri","542"
"2020-02-03","JO","Jour","Local","Kasa-Vubu","Ngiri-Ngiri","Ngiri-Ngiri","903"
"2020-02-03","JO","Nuit","Local","Kasa-Vubu","Ngiri-Ngiri","Ngiri-Ngiri","4511"
"2020-02-03","JO","Jour","Local","Ngiri-Ngiri","Ngiri-Ngiri","Ngiri-Ngiri","114044"
"2020-02-03","JO","Nuit","Local","Ngiri-Ngiri","Ngiri-Ngiri","Ngiri-Ngiri","115604"
"2020-02-03","JO","Jour","Local","Binza Meteo","Ngiri-Ngiri","Ngiri-Ngiri","244"
"2020-02-03","JO","Nuit","Local","Binza Meteo","Ngiri-Ngiri","Ngiri-Ngiri","1075"
"2020-02-03","JO","Jour","Local","Binza Ozone","Ngiri-Ngiri","Ngiri-Ngiri","60"
"2020-02-03","JO","Nuit","Local","Binza Ozone","Ngiri-Ngiri","Ngiri-Ngiri","776"
"2020-02-03","JO","Jour","Local","Mont Ngafula II","Ngiri-Ngiri","Ngiri-Ngiri","37"
"2020-02-03","JO","Nuit","Local","Mont Ngafula II","Ngiri-Ngiri","Ngiri-Ngiri","36"
"2020-02-03","JO","Jour","Local","Nsele","Ngiri-Ngiri","Ngiri-Ngiri","96"
"2020-02-03","JO","Nuit","Local","Nsele","Ngiri-Ngiri","Ngiri-Ngiri","699"
