"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-01-31","JO","Jour","Local","Hors_Zone","Hors_Zone","Tanganyika","105322"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Hors_Zone","Tanganyika","34120"
"2020-01-31","JO","Jour","Local","Tanganyika","Hors_Zone","Tanganyika","79901"
"2020-01-31","JO","Nuit","Local","Tanganyika","Hors_Zone","Tanganyika","20994"
"2020-01-31","JO","Jour","Local","Haut-Katanga","Hors_Zone","Tanganyika","176"
"2020-01-31","JO","Nuit","Local","Haut-Katanga","Hors_Zone","Tanganyika","105"
"2020-01-31","JO","Jour","Local","Lualaba","Hors_Zone","Tanganyika","35"
"2020-01-31","JO","Nuit","Local","Lualaba","Hors_Zone","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Kinshasa","Hors_Zone","Tanganyika","47"
"2020-01-31","JO","Nuit","Local","Kinshasa","Hors_Zone","Tanganyika","25"
"2020-01-31","JO","Jour","Local","Sud-Kivu","Hors_Zone","Tanganyika","964"
"2020-01-31","JO","Nuit","Local","Sud-Kivu","Hors_Zone","Tanganyika","503"
"2020-01-31","JO","Jour","Local","Haut-Lomami","Hors_Zone","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Nord-Kivu","Hors_Zone","Tanganyika","134"
"2020-01-31","JO","Nuit","Local","Nord-Kivu","Hors_Zone","Tanganyika","49"
"2020-01-31","JO","Jour","Local","Hors_Zone","Tanganyika","Tanganyika","5487"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Tanganyika","Tanganyika","6892"
"2020-01-31","JO","Jour","Local","Tanganyika","Tanganyika","Tanganyika","84175"
"2020-01-31","JO","Nuit","Local","Tanganyika","Tanganyika","Tanganyika","66829"
"2020-01-31","JO","Nuit","Local","Sud-Kivu","Tanganyika","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Hors_Zone","Haut-Katanga","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Haut-Katanga","Haut-Katanga","Tanganyika","725"
"2020-01-31","JO","Nuit","Local","Haut-Katanga","Haut-Katanga","Tanganyika","389"
"2020-01-31","JO","Jour","Local","Lualaba","Lualaba","Tanganyika","35"
"2020-01-31","JO","Nuit","Local","Lualaba","Lualaba","Tanganyika","70"
"2020-01-31","JO","Jour","Local","Kinshasa","Kinshasa","Tanganyika","60"
"2020-01-31","JO","Nuit","Local","Kinshasa","Kinshasa","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Hors_Zone","Sud-Kivu","Tanganyika","70"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Sud-Kivu","Tanganyika","26"
"2020-01-31","JO","Jour","Local","Tanganyika","Sud-Kivu","Tanganyika","194"
"2020-01-31","JO","Nuit","Local","Tanganyika","Sud-Kivu","Tanganyika","97"
"2020-01-31","JO","Jour","Local","Sud-Kivu","Sud-Kivu","Tanganyika","2760"
"2020-01-31","JO","Nuit","Local","Sud-Kivu","Sud-Kivu","Tanganyika","2445"
"2020-01-31","JO","Jour","Local","Ituri","Ituri","Tanganyika","105"
"2020-01-31","JO","Jour","Local","Lomami","Lomami","Tanganyika","106"
"2020-01-31","JO","Nuit","Local","Lomami","Lomami","Tanganyika","71"
"2020-01-31","JO","Jour","Local","Kasai-Oriental","Kasai-Oriental","Tanganyika","106"
"2020-01-31","JO","Nuit","Local","Kasai-Oriental","Kasai-Oriental","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Hors_Zone","Nord-Kivu","Tanganyika","35"
"2020-01-31","JO","Jour","Local","Nord-Kivu","Nord-Kivu","Tanganyika","417"
"2020-01-31","JO","Nuit","Local","Nord-Kivu","Nord-Kivu","Tanganyika","268"
"2020-01-31","JO","Jour","Local","Hors_Zone","Hors_Zone","Mongala","729439"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Hors_Zone","Mongala","253157"
"2020-01-31","JO","Jour","Local","Mongala","Hors_Zone","Mongala","693034"
"2020-01-31","JO","Nuit","Local","Mongala","Hors_Zone","Mongala","176546"
"2020-01-31","JO","Jour","Local","Kinshasa","Hors_Zone","Mongala","25"
"2020-01-31","JO","Jour","Local","Tshopo","Hors_Zone","Mongala","1760"
"2020-01-31","JO","Jour","Local","Bas-Uele","Hors_Zone","Mongala","464"
"2020-01-31","JO","Jour","Local","Sud-Ubangi","Hors_Zone","Mongala","464"
"2020-01-31","JO","Jour","Local","Hors_Zone","Mongala","Mongala","53193"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Mongala","Mongala","49902"
"2020-01-31","JO","Jour","Local","Mongala","Mongala","Mongala","927227"
"2020-01-31","JO","Nuit","Local","Mongala","Mongala","Mongala","694687"
"2020-01-31","JO","Jour","Local","Sud-Ubangi","Mongala","Mongala","523"
"2020-01-31","JO","Nuit","Local","Sud-Ubangi","Mongala","Mongala","523"
"2020-01-31","JO","Jour","Local","Kinshasa","Kinshasa","Mongala","632"
"2020-01-31","JO","Jour","Local","Tshopo","Tshopo","Mongala","3067"
"2020-01-31","JO","Nuit","Local","Tshopo","Tshopo","Mongala","502"
"2020-01-31","JO","Jour","Local","Bas-Uele","Bas-Uele","Mongala","464"
"2020-01-31","JO","Nuit","Local","Bas-Uele","Bas-Uele","Mongala","464"
"2020-01-31","JO","Jour","Local","Sud-Ubangi","Sud-Ubangi","Mongala","464"
"2020-01-31","JO","Nuit","Local","Sud-Ubangi","Sud-Ubangi","Mongala","929"
"2020-01-31","JO","Jour","Local","Hors_Zone","Hors_Zone","Sankuru","28670"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Hors_Zone","Sankuru","11868"
"2020-01-31","JO","Jour","Local","Sankuru","Hors_Zone","Sankuru","24714"
"2020-01-31","JO","Nuit","Local","Sankuru","Hors_Zone","Sankuru","7956"
"2020-01-31","JO","Jour","Local","Kasai-Oriental","Hors_Zone","Sankuru","35"
"2020-01-31","JO","Jour","Local","Kasai-Central","Hors_Zone","Sankuru","523"
"2020-01-31","JO","Nuit","Local","Kasai-Central","Hors_Zone","Sankuru","523"
"2020-01-31","JO","Jour","Local","Hors_Zone","Sankuru","Sankuru","2139"
"2020-01-31","JO","Nuit","Local","Hors_Zone","Sankuru","Sankuru","2269"
"2020-01-31","JO","Jour","Local","Sankuru","Sankuru","Sankuru","59975"
"2020-01-31","JO","Nuit","Local","Sankuru","Sankuru","Sankuru","48286"
"2020-01-31","JO","Jour","Local","Haut-Katanga","Haut-Katanga","Sankuru","35"
"2020-01-31","JO","Nuit","Local","Haut-Katanga","Haut-Katanga","Sankuru","35"
