"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-04-02","JO","Nuit","Local","Kinshasa","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Limete","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Limete","Binza Ozone","Binza Meteo","46"
"2020-04-02","JO","Nuit","Local","Kalamu II","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Selembao","Binza Ozone","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Kintambo","Binza Ozone","Binza Meteo","92"
"2020-04-02","JO","Jour","Local","Kasa-Vubu","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Kasa-Vubu","Binza Ozone","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Binza Meteo","Binza Ozone","Binza Meteo","7832"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Binza Ozone","Binza Meteo","2155"
"2020-04-02","JO","Jour","Local","Binza Ozone","Binza Ozone","Binza Meteo","14701"
"2020-04-02","JO","Nuit","Local","Binza Ozone","Binza Ozone","Binza Meteo","9848"
"2020-04-02","JO","Jour","Local","Mont Ngafula II","Binza Ozone","Binza Meteo","185"
"2020-04-02","JO","Nuit","Local","Mont Ngafula II","Binza Ozone","Binza Meteo","93"
"2020-04-02","JO","Jour","Local","Nsele","Binza Ozone","Binza Meteo","34"
"2020-04-02","JO","Nuit","Local","Nsele","Binza Ozone","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Kokolo","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Kokolo","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Maluku I","Binza Ozone","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Kingabwa","Binza Ozone","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Gombe","Binza Ozone","Binza Meteo","289"
"2020-04-02","JO","Nuit","Local","Gombe","Binza Ozone","Binza Meteo","335"
"2020-04-02","JO","Jour","Local","Hors_Zone","Mont Ngafula II","Binza Meteo","1553"
"2020-04-02","JO","Nuit","Local","Hors_Zone","Mont Ngafula II","Binza Meteo","661"
"2020-04-02","JO","Jour","Local","Mont Ngafula I","Mont Ngafula II","Binza Meteo","115"
"2020-04-02","JO","Nuit","Local","Mont Ngafula I","Mont Ngafula II","Binza Meteo","150"
"2020-04-02","JO","Jour","Local","Selembao","Mont Ngafula II","Binza Meteo","127"
"2020-04-02","JO","Nuit","Local","Selembao","Mont Ngafula II","Binza Meteo","81"
"2020-04-02","JO","Jour","Local","Kintambo","Mont Ngafula II","Binza Meteo","57"
"2020-04-02","JO","Nuit","Local","Kintambo","Mont Ngafula II","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Binza Meteo","Mont Ngafula II","Binza Meteo","7647"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Mont Ngafula II","Binza Meteo","2861"
"2020-04-02","JO","Jour","Local","Binza Ozone","Mont Ngafula II","Binza Meteo","509"
"2020-04-02","JO","Nuit","Local","Binza Ozone","Mont Ngafula II","Binza Meteo","522"
"2020-04-02","JO","Jour","Local","Mont Ngafula II","Mont Ngafula II","Binza Meteo","11266"
"2020-04-02","JO","Nuit","Local","Mont Ngafula II","Mont Ngafula II","Binza Meteo","8977"
"2020-04-02","JO","Jour","Local","Gombe","Mont Ngafula II","Binza Meteo","150"
"2020-04-02","JO","Nuit","Local","Gombe","Mont Ngafula II","Binza Meteo","185"
"2020-04-02","JO","Jour","Local","Hors_Zone","Sona-Bata","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Mont Ngafula I","Sona-Bata","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Binza Meteo","Sona-Bata","Binza Meteo","185"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Sona-Bata","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Sona-Bata","Sona-Bata","Binza Meteo","141"
"2020-04-02","JO","Nuit","Local","Sona-Bata","Sona-Bata","Binza Meteo","81"
"2020-04-02","JO","Jour","Local","Hors_Zone","Nsele","Binza Meteo","162"
"2020-04-02","JO","Nuit","Local","Hors_Zone","Nsele","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Mont Ngafula I","Nsele","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Kikimi","Nsele","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Selembao","Nsele","Binza Meteo","46"
"2020-04-02","JO","Nuit","Local","Selembao","Nsele","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Kintambo","Nsele","Binza Meteo","46"
"2020-04-02","JO","Nuit","Local","Kintambo","Nsele","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Ngiri-Ngiri","Nsele","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Ngiri-Ngiri","Nsele","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Binza Meteo","Nsele","Binza Meteo","1251"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Nsele","Binza Meteo","451"
"2020-04-02","JO","Jour","Local","Nsele","Nsele","Binza Meteo","938"
"2020-04-02","JO","Nuit","Local","Nsele","Nsele","Binza Meteo","486"
"2020-04-02","JO","Jour","Local","Kokolo","Nsele","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Gombe","Nsele","Binza Meteo","69"
"2020-04-02","JO","Jour","Local","Hors_Zone","Kimbanseke","Binza Meteo","220"
"2020-04-02","JO","Nuit","Local","Hors_Zone","Kimbanseke","Binza Meteo","57"
"2020-04-02","JO","Jour","Local","Ndjili","Kimbanseke","Binza Meteo","34"
"2020-04-02","JO","Nuit","Local","Mont Ngafula I","Kimbanseke","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Binza Meteo","Kimbanseke","Binza Meteo","359"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Kimbanseke","Binza Meteo","81"
"2020-04-02","JO","Jour","Local","Kimbanseke","Kimbanseke","Binza Meteo","614"
"2020-04-02","JO","Nuit","Local","Kimbanseke","Kimbanseke","Binza Meteo","150"
"2020-04-02","JO","Jour","Local","Gombe","Kimbanseke","Binza Meteo","54"
"2020-04-02","JO","Jour","Local","Hors_Zone","Kokolo","Binza Meteo","428"
"2020-04-02","JO","Nuit","Local","Hors_Zone","Kokolo","Binza Meteo","220"
"2020-04-02","JO","Nuit","Local","Kinshasa","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Limete","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Limete","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Kalamu II","Kokolo","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Bumbu","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Selembao","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Selembao","Kokolo","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Kintambo","Kokolo","Binza Meteo","231"
"2020-04-02","JO","Nuit","Local","Kintambo","Kokolo","Binza Meteo","115"
"2020-04-02","JO","Jour","Local","Kasa-Vubu","Kokolo","Binza Meteo","34"
"2020-04-02","JO","Nuit","Local","Kasa-Vubu","Kokolo","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Ngiri-Ngiri","Kokolo","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Ngiri-Ngiri","Kokolo","Binza Meteo","57"
"2020-04-02","JO","Jour","Local","Binza Meteo","Kokolo","Binza Meteo","3128"
"2020-04-02","JO","Nuit","Local","Binza Meteo","Kokolo","Binza Meteo","764"
"2020-04-02","JO","Jour","Local","Binza Ozone","Kokolo","Binza Meteo","57"
"2020-04-02","JO","Jour","Local","Kokolo","Kokolo","Binza Meteo","5960"
"2020-04-02","JO","Nuit","Local","Kokolo","Kokolo","Binza Meteo","5121"
"2020-04-02","JO","Jour","Local","Gombe","Kokolo","Binza Meteo","220"
"2020-04-02","JO","Nuit","Local","Gombe","Kokolo","Binza Meteo","162"
"2020-04-02","JO","Jour","Local","Kimpese","Kimpese","Binza Meteo","35"
"2020-04-02","JO","Nuit","Local","Kimpese","Kimpese","Binza Meteo","23"
"2020-04-02","JO","Jour","Local","Nsona-Mpangu","Nsona-Mpangu","Binza Meteo","23"
"2020-04-02","JO","Nuit","Local","Nsona-Mpangu","Nsona-Mpangu","Binza Meteo","46"
"2020-04-02","JO","Jour","Local","Mbanza-Ngungu","Mbanza-Ngungu","Binza Meteo","61"
"2020-04-02","JO","Jour","Local","Hors_Zone","Masa","Binza Meteo","34"
"2020-04-02","JO","Jour","Local","Binza Meteo","Masa","Binza Meteo","46"
"2020-04-02","JO","Jour","Local","Masa","Masa","Binza Meteo","211"
"2020-04-02","JO","Nuit","Local","Masa","Masa","Binza Meteo","117"
"2020-04-02","JO","Jour","Local","Hors_Zone","Maluku I","Binza Meteo","23"
