"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Kinshasa","Kwango","815"
"2020-03-05","JO","Jour","Local","Kinshasa","Kinshasa","Kwango","10433"
"2020-03-05","JO","Nuit","Local","Kinshasa","Kinshasa","Kwango","3874"
"2020-03-05","JO","Jour","Local","Kwango","Kinshasa","Kwango","802"
"2020-03-05","JO","Jour","Local","Hors_Zone","Kwilu","Kwango","802"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Kwilu","Kwango","815"
"2020-03-05","JO","Jour","Local","Kwilu","Kwilu","Kwango","4014"
"2020-03-05","JO","Nuit","Local","Kwilu","Kwilu","Kwango","1605"
"2020-03-05","JO","Jour","Local","Kwango","Kwilu","Kwango","802"
"2020-03-05","JO","Jour","Local","Hors_Zone","Kwango","Kwango","55399"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Kwango","Kwango","47395"
"2020-03-05","JO","Jour","Local","Kwango","Kwango","Kwango","664055"
"2020-03-05","JO","Nuit","Local","Kwango","Kwango","Kwango","247977"
"2020-03-05","JO","Jour","Local","Hors_Zone","Hors_Zone","Haut-Uele","27838"
"2020-03-05","JO","Nuit","Local","Hors_Zone","Hors_Zone","Haut-Uele","6740"
"2020-03-05","JO","Jour","Local","Sud-Kivu","Hors_Zone","Haut-Uele","102"
"2020-03-05","JO","Jour","Local","Tshopo","Hors_Zone","Haut-Uele","409"
"2020-03-05","JO","Nuit","Local","Tshopo","Hors_Zone","Haut-Uele","102"
"2020-03-05","JO","Jour","Local","Ituri","Hors_Zone","Haut-Uele","306"
"2020-03-05","JO","Jour","Local","Haut-Uele","Hors_Zone","Haut-Uele","33445"
"2020-03-05","JO","Nuit","Local","Haut-Uele","Hors_Zone","Haut-Uele","3386"
"2020-03-05","JO","Jour","Local","Nord-Kivu","Hors_Zone","Haut-Uele","272"
"2020-03-05","JO","Nuit","Local","Nord-Kivu","Hors_Zone","Haut-Uele","102"
"2020-03-05","JO","Jour","Local","Haut-Katanga","Haut-Katanga","Haut-Uele","102"
"2020-03-05","JO","Nuit","Local","Haut-Katanga","Haut-Katanga","Haut-Uele","102"
