"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-03-01","WE","Nuit","Local","Kabeya Kamuanga","Kabeya Kamuanga","Kamiji","74"
"2020-03-01","WE","Nuit","Local","Diulu","Mukumbi","Kamiji","37"
"2020-03-01","WE","Jour","Local","Hors_Zone","Kasansa","Kamiji","188"
"2020-03-01","WE","Nuit","Local","Hors_Zone","Kasansa","Kamiji","113"
"2020-03-01","WE","Jour","Local","Kamiji","Kasansa","Kamiji","339"
"2020-03-01","WE","Nuit","Local","Kamiji","Kasansa","Kamiji","112"
"2020-03-01","WE","Jour","Local","Mwene Ditu","Kasansa","Kamiji","37"
"2020-03-01","WE","Jour","Local","Kanda Kanda","Kasansa","Kamiji","75"
"2020-03-01","WE","Nuit","Local","Kanda Kanda","Kasansa","Kamiji","188"
"2020-03-01","WE","Jour","Local","Kasansa","Kasansa","Kamiji","1546"
"2020-03-01","WE","Nuit","Local","Kasansa","Kasansa","Kamiji","943"
"2020-03-01","WE","Nuit","Local","Kaniama","Kaniama","Kamiji","37"
"2020-03-01","WE","Jour","Local","Hors_Zone","Yangala","Kamiji","75"
"2020-03-01","WE","Nuit","Local","Hors_Zone","Yangala","Kamiji","75"
"2020-03-01","WE","Jour","Local","Kamiji","Yangala","Kamiji","831"
"2020-03-01","WE","Nuit","Local","Kamiji","Yangala","Kamiji","453"
"2020-03-01","WE","Jour","Local","Mwene Ditu","Yangala","Kamiji","75"
"2020-03-01","WE","Nuit","Local","Mwene Ditu","Yangala","Kamiji","113"
"2020-03-01","WE","Jour","Local","Kalenda","Yangala","Kamiji","226"
"2020-03-01","WE","Jour","Local","Kanda Kanda","Yangala","Kamiji","151"
"2020-03-01","WE","Nuit","Local","Kanda Kanda","Yangala","Kamiji","151"
"2020-03-01","WE","Jour","Local","Yangala","Yangala","Kamiji","702"
"2020-03-01","WE","Nuit","Local","Yangala","Yangala","Kamiji","113"
"2020-03-01","WE","Jour","Local","Hors_Zone","Dibaya","Kamiji","1254"
"2020-03-01","WE","Nuit","Local","Hors_Zone","Dibaya","Kamiji","75"
"2020-03-01","WE","Jour","Local","Kamiji","Dibaya","Kamiji","2795"
"2020-03-01","WE","Nuit","Local","Kamiji","Dibaya","Kamiji","37"
"2020-03-01","WE","Jour","Local","Dibaya","Dibaya","Kamiji","4124"
"2020-03-01","WE","Nuit","Local","Dibaya","Dibaya","Kamiji","1956"
"2020-03-01","WE","Jour","Local","Masuika","Masuika","Kamiji","37"
"2020-03-01","WE","Jour","Local","Kananga","Kananga","Kamiji","37"
"2020-03-01","WE","Nuit","Local","Kananga","Kananga","Kamiji","37"
"2020-03-01","WE","Nuit","Local","Mikalayi","Mikalayi","Kamiji","72"
"2020-03-01","WE","Jour","Local","Kamiji","Lubondaie","Kamiji","1102"
"2020-03-01","WE","Jour","Local","Lubondaie","Lubondaie","Kamiji","2832"
"2020-03-01","WE","Nuit","Local","Lubondaie","Lubondaie","Kamiji","1102"
"2020-03-01","WE","Jour","Local","Lubumbashi","Lubumbashi","Kamiji","614"
"2020-03-01","WE","Jour","Local","Hors_Zone","Hors_Zone","Miabi","33271"
"2020-03-01","WE","Nuit","Local","Hors_Zone","Hors_Zone","Miabi","14840"
"2020-03-01","WE","Nuit","Local","Kamiji","Hors_Zone","Miabi","37"
"2020-03-01","WE","Jour","Local","Miabi","Hors_Zone","Miabi","28312"
"2020-03-01","WE","Nuit","Local","Miabi","Hors_Zone","Miabi","7690"
"2020-03-01","WE","Jour","Local","Mulumba","Hors_Zone","Miabi","75"
"2020-03-01","WE","Nuit","Local","Mulumba","Hors_Zone","Miabi","37"
"2020-03-01","WE","Jour","Local","Tshilenge","Hors_Zone","Miabi","566"
"2020-03-01","WE","Nuit","Local","Tshilenge","Hors_Zone","Miabi","302"
"2020-03-01","WE","Jour","Local","Cilundu","Hors_Zone","Miabi","3436"
"2020-03-01","WE","Nuit","Local","Cilundu","Hors_Zone","Miabi","1949"
"2020-03-01","WE","Jour","Local","Diulu","Hors_Zone","Miabi","1208"
"2020-03-01","WE","Nuit","Local","Diulu","Hors_Zone","Miabi","1019"
"2020-03-01","WE","Jour","Local","Kabeya Kamuanga","Hors_Zone","Miabi","4479"
"2020-03-01","WE","Nuit","Local","Kabeya Kamuanga","Hors_Zone","Miabi","1080"
"2020-03-01","WE","Jour","Local","Mukumbi","Hors_Zone","Miabi","37"
"2020-03-01","WE","Nuit","Local","Mukumbi","Hors_Zone","Miabi","37"
"2020-03-01","WE","Jour","Local","Tshishimbi","Hors_Zone","Miabi","453"
"2020-03-01","WE","Nuit","Local","Tshishimbi","Hors_Zone","Miabi","264"
"2020-03-01","WE","Jour","Local","Kasansa","Hors_Zone","Miabi","420"
"2020-03-01","WE","Nuit","Local","Kasansa","Hors_Zone","Miabi","415"
"2020-03-01","WE","Jour","Local","Dibaya","Hors_Zone","Miabi","37"
"2020-03-01","WE","Jour","Local","Kananga","Hors_Zone","Miabi","551"
"2020-03-01","WE","Jour","Local","Kamiji","Kamiji","Miabi","75"
"2020-03-01","WE","Jour","Local","Hors_Zone","Miabi","Miabi","3437"
"2020-03-01","WE","Nuit","Local","Hors_Zone","Miabi","Miabi","3701"
"2020-03-01","WE","Jour","Local","Miabi","Miabi","Miabi","141740"
"2020-03-01","WE","Nuit","Local","Miabi","Miabi","Miabi","119178"
