"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-03-24","JO","Jour","Local","Kikimi","Kimbanseke","Gombe","23"
"2020-03-24","JO","Jour","Local","Barumbu","Kimbanseke","Gombe","59"
"2020-03-24","JO","Jour","Local","Kinshasa","Kimbanseke","Gombe","23"
"2020-03-24","JO","Jour","Local","Limete","Kimbanseke","Gombe","23"
"2020-03-24","JO","Jour","Local","Nsele","Kimbanseke","Gombe","154"
"2020-03-24","JO","Jour","Local","Kimbanseke","Kimbanseke","Gombe","1071"
"2020-03-24","JO","Nuit","Local","Kimbanseke","Kimbanseke","Gombe","214"
"2020-03-24","JO","Jour","Local","Kingabwa","Kimbanseke","Gombe","23"
"2020-03-24","JO","Jour","Local","Gombe","Kimbanseke","Gombe","4083"
"2020-03-24","JO","Nuit","Local","Gombe","Kimbanseke","Gombe","154"
"2020-03-24","JO","Jour","Local","Masina II","Kimbanseke","Gombe","47"
"2020-03-24","JO","Jour","Local","Hors_Zone","Kokolo","Gombe","785"
"2020-03-24","JO","Nuit","Local","Hors_Zone","Kokolo","Gombe","95"
"2020-03-24","JO","Jour","Local","Police","Kokolo","Gombe","83"
"2020-03-24","JO","Nuit","Local","Police","Kokolo","Gombe","59"
"2020-03-24","JO","Jour","Local","Barumbu","Kokolo","Gombe","47"
"2020-03-24","JO","Jour","Local","Kinshasa","Kokolo","Gombe","47"
"2020-03-24","JO","Nuit","Local","Kinshasa","Kokolo","Gombe","47"
"2020-03-24","JO","Jour","Local","Limete","Kokolo","Gombe","35"
"2020-03-24","JO","Jour","Local","Kintambo","Kokolo","Gombe","47"
"2020-03-24","JO","Nuit","Local","Kintambo","Kokolo","Gombe","23"
"2020-03-24","JO","Jour","Local","Kasa-Vubu","Kokolo","Gombe","23"
"2020-03-24","JO","Nuit","Local","Kasa-Vubu","Kokolo","Gombe","23"
"2020-03-24","JO","Jour","Local","Ngiri-Ngiri","Kokolo","Gombe","35"
"2020-03-24","JO","Jour","Local","Binza Meteo","Kokolo","Gombe","178"
"2020-03-24","JO","Nuit","Local","Binza Meteo","Kokolo","Gombe","47"
"2020-03-24","JO","Jour","Local","Binza Ozone","Kokolo","Gombe","23"
"2020-03-24","JO","Nuit","Local","Binza Ozone","Kokolo","Gombe","73"
"2020-03-24","JO","Jour","Local","Nsele","Kokolo","Gombe","142"
"2020-03-24","JO","Nuit","Local","Nsele","Kokolo","Gombe","23"
"2020-03-24","JO","Jour","Local","Kokolo","Kokolo","Gombe","4497"
"2020-03-24","JO","Nuit","Local","Kokolo","Kokolo","Gombe","1407"
"2020-03-24","JO","Jour","Local","Maluku I","Kokolo","Gombe","47"
"2020-03-24","JO","Jour","Local","Kingabwa","Kokolo","Gombe","23"
"2020-03-24","JO","Jour","Local","Gombe","Kokolo","Gombe","7762"
"2020-03-24","JO","Nuit","Local","Gombe","Kokolo","Gombe","535"
"2020-03-24","JO","Jour","Local","Makiso-Kisangani","Makiso-Kisangani","Gombe","23"
"2020-03-24","JO","Jour","Local","Kimpese","Kimpese","Gombe","60"
"2020-03-24","JO","Nuit","Local","Kimpese","Kimpese","Gombe","24"
"2020-03-24","JO","Jour","Local","Nsona-Mpangu","Nsona-Mpangu","Gombe","73"
"2020-03-24","JO","Nuit","Local","Nsona-Mpangu","Nsona-Mpangu","Gombe","23"
"2020-03-24","JO","Jour","Local","Mbanza-Ngungu","Mbanza-Ngungu","Gombe","49"
"2020-03-24","JO","Jour","Local","Masa","Masa","Gombe","110"
"2020-03-24","JO","Nuit","Local","Masa","Masa","Gombe","24"
"2020-03-24","JO","Jour","Local","Gombe","Masa","Gombe","109"
"2020-03-24","JO","Jour","Local","Hors_Zone","Maluku I","Gombe","23"
"2020-03-24","JO","Nuit","Local","Hors_Zone","Maluku I","Gombe","47"
"2020-03-24","JO","Nuit","Local","Barumbu","Maluku I","Gombe","23"
"2020-03-24","JO","Jour","Local","Kinshasa","Maluku I","Gombe","23"
"2020-03-24","JO","Nuit","Local","Kinshasa","Maluku I","Gombe","35"
"2020-03-24","JO","Nuit","Local","Nsele","Maluku I","Gombe","23"
"2020-03-24","JO","Jour","Local","Maluku I","Maluku I","Gombe","323"
"2020-03-24","JO","Nuit","Local","Maluku I","Maluku I","Gombe","119"
"2020-03-24","JO","Jour","Local","Gombe","Maluku I","Gombe","702"
"2020-03-24","JO","Nuit","Local","Gombe","Maluku I","Gombe","226"
