"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-06-03","JO","Jour","Etranger","Kamina","Hors_Zone","Kamina","41"
"2020-06-03","JO","Jour","Etranger","Kamina","Kamina","Kamina","28"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Tshamilemba","108"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Tshamilemba","89"
"2020-06-03","JO","Jour","Etranger","Tshamilemba","Tshamilemba","Tshamilemba","120"
"2020-06-03","JO","Nuit","Etranger","Tshamilemba","Tshamilemba","Tshamilemba","92"
"2020-06-03","JO","Jour","Etranger","Lubumbashi","Lubumbashi","Tshamilemba","29"
"2020-06-03","JO","Nuit","Etranger","Lubumbashi","Lubumbashi","Tshamilemba","29"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Pweto","31"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Kikula","54"
"2020-06-03","JO","Jour","Etranger","Kikula","Hors_Zone","Kikula","36"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Kikula","Kikula","37"
"2020-06-03","JO","Nuit","Etranger","Kikula","Kikula","Kikula","30"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Kapolowe","293"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Kapolowe","189"
"2020-06-03","JO","Jour","Etranger","Kapolowe","Hors_Zone","Kapolowe","186"
"2020-06-03","JO","Nuit","Etranger","Kapolowe","Hors_Zone","Kapolowe","58"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Kapolowe","Kapolowe","122"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Kapolowe","Kapolowe","175"
"2020-06-03","JO","Jour","Etranger","Kapolowe","Kapolowe","Kapolowe","320"
"2020-06-03","JO","Nuit","Etranger","Kapolowe","Kapolowe","Kapolowe","257"
"2020-06-03","JO","Jour","Etranger","Likasi","Kapolowe","Kapolowe","46"
"2020-06-03","JO","Nuit","Etranger","Likasi","Kapolowe","Kapolowe","50"
"2020-06-03","JO","Nuit","Etranger","Manika","Kapolowe","Kapolowe","28"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Likasi","Kapolowe","25"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Kampemba","65"
"2020-06-03","JO","Jour","Etranger","Lubumbashi","Lubumbashi","Kampemba","26"
"2020-06-03","JO","Nuit","Etranger","Lubumbashi","Lubumbashi","Kampemba","28"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Rwashi","222"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Rwashi","52"
"2020-06-03","JO","Jour","Etranger","Rwashi","Hors_Zone","Rwashi","35"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Rwashi","Rwashi","31"
"2020-06-03","JO","Jour","Etranger","Rwashi","Rwashi","Rwashi","109"
"2020-06-03","JO","Nuit","Etranger","Rwashi","Rwashi","Rwashi","90"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Luebo","23"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Kananga","53"
"2020-06-03","JO","Jour","Etranger","Kananga","Hors_Zone","Kananga","133"
"2020-06-03","JO","Nuit","Etranger","Mutoto","Kananga","Kananga","30"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Mikalayi","23"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Bunia","743"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Bunia","185"
"2020-06-03","JO","Jour","Etranger","Bunia","Hors_Zone","Bunia","324"
"2020-06-03","JO","Nuit","Etranger","Bunia","Hors_Zone","Bunia","120"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Bunia","Bunia","30"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Bunia","Bunia","30"
"2020-06-03","JO","Jour","Etranger","Bunia","Bunia","Bunia","66"
"2020-06-03","JO","Nuit","Etranger","Bunia","Bunia","Bunia","90"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Drodro","360"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Drodro","60"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Logo","120"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Nyakunde","30"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Gethy","900"
"2020-06-03","JO","Nuit","Etranger","Hors_Zone","Hors_Zone","Gethy","150"
"2020-06-03","JO","Jour","Etranger","Gethy","Hors_Zone","Gethy","30"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Komanda","210"
"2020-06-03","JO","Jour","Etranger","Komanda","Komanda","Komanda","84"
"2020-06-03","JO","Nuit","Etranger","Komanda","Komanda","Komanda","84"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Isiro","60"
"2020-06-03","JO","Jour","Etranger","Hors_Zone","Hors_Zone","Angumu","300"
