"﻿Date","Origin","Destination","Immobility","Home_Category","Activity_Category","Observation_Zone","Mode","Volume"
"2020-06-04","Kokolo","Police","1h","Origin_Zone_Resident","Origin_Zone_Worker","Inga","All_modes","53"
"2020-06-04","Kokolo","Police","1h","Origin_Zone_Resident","Origin_Zone_Worker","Marché Moulaert ou Marché Lumumba","All_modes","28"
"2020-06-04","Kokolo","Police","1h","Origin_Zone_Resident","Origin_Zone_Worker","ZoneGlobale","All_modes","323"
"2020-06-04","Kokolo","Police","3h","Outside_Resident","Outside_Worker","Cinquantenaire","All_modes","21"
"2020-06-04","Kokolo","Police","3h","Outside_Resident","Outside_Worker","ZoneGlobale","All_modes","120"
"2020-06-04","Kokolo","Police","3h","Outside_Resident","Destination_Zone_Worker","ZoneGlobale","All_modes","35"
"2020-06-04","Kokolo","Police","3h","Outside_Resident","Study_Zone_Worker","ZoneGlobale","All_modes","25"
"2020-06-04","Kokolo","Police","3h","Outside_Resident","Origin_Zone_Worker","ZoneGlobale","All_modes","72"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Arret Bakayaou","All_modes","112"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Arret moulard","All_modes","34"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Avenue Kimbondo et Pierre Mulele","All_modes","60"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Avenue kalembelembe et Pierre Mulele (ASSANEF)","All_modes","138"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Centre Vijana","All_modes","46"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Cinquantenaire","All_modes","134"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Inga","All_modes","131"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Marché Moulaert ou Marché Lumumba","All_modes","59"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","Salle de fête de la Rotonde Binza","All_modes","42"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Destination_Zone_Worker","ZoneGlobale","All_modes","484"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Study_Zone_Worker","Avenue Kimbondo et Pierre Mulele","All_modes","26"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Study_Zone_Worker","ZoneGlobale","All_modes","38"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","Arret Bakayaou","All_modes","90"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","Avenue kalembelembe et Pierre Mulele (ASSANEF)","All_modes","58"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","Cinquantenaire","All_modes","42"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","Inga","All_modes","80"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","Marché Moulaert ou Marché Lumumba","All_modes","32"
"2020-06-04","Kokolo","Police","3h","Destination_Zone_Resident","Origin_Zone_Worker","ZoneGlobale","All_modes","197"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Destination_Zone_Worker","ZoneGlobale","All_modes","43"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Arret Bakayaou","All_modes","39"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Arret Telecel Alingwa","All_modes","23"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Arret moulard","All_modes","49"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Avenue Kimbondo et Pierre Mulele","All_modes","23"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Avenue kalembelembe et Pierre Mulele (ASSANEF)","All_modes","31"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Cinquantenaire","All_modes","68"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Huillerie","All_modes","33"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Inga","All_modes","79"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Marché Moulaert ou Marché Lumumba","All_modes","60"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Médecin sans frontière","All_modes","23"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","Stade Vélodrome","All_modes","23"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Study_Zone_Worker","ZoneGlobale","All_modes","305"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Origin_Zone_Worker","Avenue Kimbondo et Pierre Mulele","All_modes","21"
"2020-06-04","Kokolo","Police","3h","Study_Zone_Resident","Origin_Zone_Worker","Hopital général de Kintambo","All_modes","21"
