"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-02-24","JO","Jour","Local","Kaniama","Kaniama","Kanda Kanda","286"
"2020-02-24","JO","Nuit","Local","Kaniama","Kaniama","Kanda Kanda","146"
"2020-02-24","JO","Jour","Local","Bukama","Bukama","Kanda Kanda","71"
"2020-02-24","JO","Jour","Local","Hors_Zone","Yangala","Kanda Kanda","219"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Yangala","Kanda Kanda","73"
"2020-02-24","JO","Jour","Local","Kamiji","Yangala","Kanda Kanda","291"
"2020-02-24","JO","Nuit","Local","Kamiji","Yangala","Kanda Kanda","146"
"2020-02-24","JO","Jour","Local","Mwene Ditu","Yangala","Kanda Kanda","439"
"2020-02-24","JO","Nuit","Local","Mwene Ditu","Yangala","Kanda Kanda","439"
"2020-02-24","JO","Jour","Local","Kalenda","Yangala","Kanda Kanda","366"
"2020-02-24","JO","Nuit","Local","Kalenda","Yangala","Kanda Kanda","109"
"2020-02-24","JO","Jour","Local","Kanda Kanda","Yangala","Kanda Kanda","1721"
"2020-02-24","JO","Nuit","Local","Kanda Kanda","Yangala","Kanda Kanda","512"
"2020-02-24","JO","Jour","Local","Yangala","Yangala","Kanda Kanda","439"
"2020-02-24","JO","Nuit","Local","Yangala","Yangala","Kanda Kanda","183"
"2020-02-24","JO","Jour","Local","Dibaya","Dibaya","Kanda Kanda","36"
"2020-02-24","JO","Nuit","Local","Dibaya","Dibaya","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Lubondaie","Dibaya","Kanda Kanda","465"
"2020-02-24","JO","Jour","Local","Kanda Kanda","Masuika","Kanda Kanda","36"
"2020-02-24","JO","Nuit","Local","Kanda Kanda","Masuika","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Masuika","Masuika","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Luiza","Luiza","Kanda Kanda","36"
"2020-02-24","JO","Nuit","Local","Luiza","Luiza","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Bunkonde","Bunkonde","Kanda Kanda","36"
"2020-02-24","JO","Nuit","Local","Lualaba","Lualaba","Kanda Kanda","34"
"2020-02-24","JO","Nuit","Local","Kalenda","Kalamba","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Mwene Ditu","Lubumbashi","Kanda Kanda","36"
"2020-02-24","JO","Nuit","Local","Mwene Ditu","Lubumbashi","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Lubumbashi","Lubumbashi","Kanda Kanda","36"
"2020-02-24","JO","Jour","Local","Sakania","Sakania","Kanda Kanda","34"
"2020-02-24","JO","Nuit","Local","Sakania","Sakania","Kanda Kanda","34"
"2020-02-24","JO","Jour","Local","Hors_Zone","Hors_Zone","Diulu","503056"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Hors_Zone","Diulu","243614"
"2020-02-24","JO","Jour","Local","Kamiji","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Miabi","Hors_Zone","Diulu","1938"
"2020-02-24","JO","Nuit","Local","Miabi","Hors_Zone","Diulu","1267"
"2020-02-24","JO","Jour","Local","Ngandajika","Hors_Zone","Diulu","1171"
"2020-02-24","JO","Nuit","Local","Ngandajika","Hors_Zone","Diulu","769"
"2020-02-24","JO","Jour","Local","Mulumba","Hors_Zone","Diulu","1574"
"2020-02-24","JO","Nuit","Local","Mulumba","Hors_Zone","Diulu","878"
"2020-02-24","JO","Jour","Local","Tshilenge","Hors_Zone","Diulu","11608"
"2020-02-24","JO","Nuit","Local","Tshilenge","Hors_Zone","Diulu","5676"
"2020-02-24","JO","Jour","Local","Cilundu","Hors_Zone","Diulu","1036"
"2020-02-24","JO","Nuit","Local","Cilundu","Hors_Zone","Diulu","659"
"2020-02-24","JO","Jour","Local","Kabinda","Hors_Zone","Diulu","549"
"2020-02-24","JO","Nuit","Local","Kabinda","Hors_Zone","Diulu","194"
"2020-02-24","JO","Jour","Local","Ludimbi Lukula","Hors_Zone","Diulu","377"
"2020-02-24","JO","Nuit","Local","Ludimbi Lukula","Hors_Zone","Diulu","194"
"2020-02-24","JO","Jour","Local","Mwene Ditu","Hors_Zone","Diulu","401"
"2020-02-24","JO","Nuit","Local","Mwene Ditu","Hors_Zone","Diulu","146"
"2020-02-24","JO","Jour","Local","Kalenda","Hors_Zone","Diulu","439"
"2020-02-24","JO","Nuit","Local","Kalenda","Hors_Zone","Diulu","219"
"2020-02-24","JO","Jour","Local","Luputa","Hors_Zone","Diulu","827"
"2020-02-24","JO","Nuit","Local","Luputa","Hors_Zone","Diulu","754"
"2020-02-24","JO","Jour","Local","Kanda Kanda","Hors_Zone","Diulu","659"
"2020-02-24","JO","Nuit","Local","Kanda Kanda","Hors_Zone","Diulu","439"
"2020-02-24","JO","Jour","Local","Diulu","Hors_Zone","Diulu","752767"
"2020-02-24","JO","Nuit","Local","Diulu","Hors_Zone","Diulu","211984"
"2020-02-24","JO","Jour","Local","Kabeya Kamuanga","Hors_Zone","Diulu","3902"
"2020-02-24","JO","Nuit","Local","Kabeya Kamuanga","Hors_Zone","Diulu","1737"
"2020-02-24","JO","Jour","Local","Mukumbi","Hors_Zone","Diulu","5820"
"2020-02-24","JO","Nuit","Local","Mukumbi","Hors_Zone","Diulu","2819"
"2020-02-24","JO","Jour","Local","Tshishimbi","Hors_Zone","Diulu","10074"
"2020-02-24","JO","Nuit","Local","Tshishimbi","Hors_Zone","Diulu","5608"
"2020-02-24","JO","Jour","Local","Kasansa","Hors_Zone","Diulu","2014"
"2020-02-24","JO","Nuit","Local","Kasansa","Hors_Zone","Diulu","1208"
"2020-02-24","JO","Jour","Local","Bibanga","Hors_Zone","Diulu","3919"
"2020-02-24","JO","Nuit","Local","Bibanga","Hors_Zone","Diulu","2271"
"2020-02-24","JO","Jour","Local","Police","Hors_Zone","Diulu","36"
"2020-02-24","JO","Nuit","Local","Police","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Barumbu","Hors_Zone","Diulu","36"
"2020-02-24","JO","Nuit","Local","Barumbu","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Kasa-Vubu","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Ngiri-Ngiri","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Binza Meteo","Hors_Zone","Diulu","23"
"2020-02-24","JO","Jour","Local","Nsele","Hors_Zone","Diulu","48"
"2020-02-24","JO","Jour","Local","Kinda","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Tshamilemba","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Bena Tshiadi","Hors_Zone","Diulu","931"
"2020-02-24","JO","Jour","Local","Dibaya","Hors_Zone","Diulu","465"
"2020-02-24","JO","Jour","Local","Kananga","Hors_Zone","Diulu","635"
"2020-02-24","JO","Nuit","Local","Kananga","Hors_Zone","Diulu","500"
"2020-02-24","JO","Jour","Local","Lubondaie","Hors_Zone","Diulu","465"
"2020-02-24","JO","Jour","Local","Ototo","Hors_Zone","Diulu","109"
"2020-02-24","JO","Nuit","Local","Ototo","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Lubumbashi","Hors_Zone","Diulu","108"
"2020-02-24","JO","Jour","Local","Gombe","Hors_Zone","Diulu","36"
"2020-02-24","JO","Nuit","Local","Gombe","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Masina II","Hors_Zone","Diulu","36"
"2020-02-24","JO","Nuit","Local","Masina II","Hors_Zone","Diulu","36"
"2020-02-24","JO","Jour","Local","Hors_Zone","Kamiji","Diulu","36"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Kamiji","Diulu","36"
"2020-02-24","JO","Jour","Local","Kamiji","Kamiji","Diulu","941"
"2020-02-24","JO","Nuit","Local","Kamiji","Kamiji","Diulu","256"
"2020-02-24","JO","Jour","Local","Mwene Ditu","Kamiji","Diulu","36"
"2020-02-24","JO","Jour","Local","Kalenda","Kamiji","Diulu","36"
"2020-02-24","JO","Jour","Local","Kanda Kanda","Kamiji","Diulu","401"
"2020-02-24","JO","Nuit","Local","Kanda Kanda","Kamiji","Diulu","291"
"2020-02-24","JO","Jour","Local","Diulu","Kamiji","Diulu","292"
"2020-02-24","JO","Nuit","Local","Diulu","Kamiji","Diulu","109"
"2020-02-24","JO","Jour","Local","Kasansa","Kamiji","Diulu","36"
"2020-02-24","JO","Jour","Local","Hors_Zone","Miabi","Diulu","695"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Miabi","Diulu","402"
"2020-02-24","JO","Jour","Local","Miabi","Miabi","Diulu","9903"
"2020-02-24","JO","Nuit","Local","Miabi","Miabi","Diulu","4886"
"2020-02-24","JO","Jour","Local","Tshilenge","Miabi","Diulu","219"
"2020-02-24","JO","Nuit","Local","Tshilenge","Miabi","Diulu","146"
"2020-02-24","JO","Jour","Local","Cilundu","Miabi","Diulu","1269"
"2020-02-24","JO","Nuit","Local","Cilundu","Miabi","Diulu","402"
"2020-02-24","JO","Jour","Local","Diulu","Miabi","Diulu","2428"
"2020-02-24","JO","Nuit","Local","Diulu","Miabi","Diulu","1622"
"2020-02-24","JO","Jour","Local","Kabeya Kamuanga","Miabi","Diulu","660"
"2020-02-24","JO","Nuit","Local","Kabeya Kamuanga","Miabi","Diulu","121"
"2020-02-24","JO","Jour","Local","Tshishimbi","Miabi","Diulu","146"
"2020-02-24","JO","Nuit","Local","Tshishimbi","Miabi","Diulu","36"
"2020-02-24","JO","Nuit","Local","Kasansa","Miabi","Diulu","36"
"2020-02-24","JO","Jour","Local","Hors_Zone","Ngandajika","Diulu","476"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Ngandajika","Diulu","256"
"2020-02-24","JO","Jour","Local","Ngandajika","Ngandajika","Diulu","7418"
"2020-02-24","JO","Nuit","Local","Ngandajika","Ngandajika","Diulu","4525"
"2020-02-24","JO","Jour","Local","Mulumba","Ngandajika","Diulu","560"
"2020-02-24","JO","Nuit","Local","Mulumba","Ngandajika","Diulu","401"
"2020-02-24","JO","Jour","Local","Tshilenge","Ngandajika","Diulu","36"
"2020-02-24","JO","Jour","Local","Kanda Kanda","Ngandajika","Diulu","73"
"2020-02-24","JO","Jour","Local","Diulu","Ngandajika","Diulu","2720"
"2020-02-24","JO","Nuit","Local","Diulu","Ngandajika","Diulu","1157"
"2020-02-24","JO","Jour","Local","Bibanga","Ngandajika","Diulu","109"
"2020-02-24","JO","Nuit","Local","Bibanga","Ngandajika","Diulu","73"
"2020-02-24","JO","Jour","Local","Hors_Zone","Mulumba","Diulu","1672"
"2020-02-24","JO","Nuit","Local","Hors_Zone","Mulumba","Diulu","1196"
"2020-02-24","JO","Jour","Local","Ngandajika","Mulumba","Diulu","950"
